IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.5.86,4,4,0,157.31,25.31
104.17.110.94,4,4,0,156.9,22.72
162.159.199.164,4,4,0,154.46,22.17
162.159.244.43,4,4,0,152.68,18.46
